100 Club of Arizona,Safety,"333 N 44th St #100, Phoenix, AZ 85008",(602) 485-0100,100club.org
Ability360 Center,Disability,"5025 E Washington St #200, Phoenix, AZ 85034",(602) 256-2245,ability360.org
Alliance of Arizona Nonprofits,Nonprofit,"360 E Coronado Rd #120, Phoenix, AZ 85004",(602) 279-2966,arizonanonprofits.org
Alzheimer's Association,Social Service,"1028 E McDowell Rd, Phoenix, AZ 85006",(602) 528-0545,alz.org
Amanda Hope Rainbow Angel's,Children,"340 E Coronado Rd Ste 100, Phoenix, AZ 85004",(602) 565-3589,amandahoperainbowangels.org
Animals In Disaster Non Profit,Animal,"5036 E Van Buren St, Phoenix, AZ 85008",(602) 918-7373,
Arizona Autism United,Artisum,"5025 E Washington St #212, Phoenix, AZ 85034",(602) 773-5773,azaunited.org
Arizona Citizens for the Arts,Arts,"420 W Roosevelt St Suite 208, Phoenix, AZ 85003",(602) 253-6535,azcitizensforthearts.org
Arizona Coalition to End Homelessness,Homeless,"141 E Palm Ln #105, Phoenix, AZ 85004",(602) 340-9393,azceh.org
Arizona Community Tree Council,Trees,"4949 E Van Buren St., # 65122, Phoenix, AZ 85026",(602) 354-3023,aztrees.org
Arizona Dance Education Org,Dance,"Phoenix, AZ 85082",(480) 961-3160,
Arizona Humanities,Humanity,"1242 N Central Ave, Phoenix, AZ 85004",(602) 257-0335,azhumanities.org
Arizona Road Racers Running,Running,"2627 N 27th St, Phoenix, AZ 85008",(602) 954-8341,arizonaroadracers.com
Arizona Small Business Association (ASBA),Business,"4600 E Washington St, Phoenix, AZ 85034",(602) 306-4000,asba.com
Arizona Society of CPAS,CPA(Certificated Public Accountants),"4801 E Washington St # 180, Phoenix, AZ 85034",(602) 252-4144,ascpa.com
Arthritis Foundation,Disability,"5009 E Washington St #125, Phoenix, AZ 85034",(602) 212-9900,arthritis.org
Beat Street AZ,Youth,"2406 S 24th St #114, Phoenix, AZ 85034",(480) 382-8526,beatstreetaz.org
BioAccel,Health,"4602 N 16th St Suite 303, Phoenix, AZ 85016",(602) 385-3210,bioaccel.org
Boys & Girls Clubs of Metro Phoenix - Program Services Center,Youth,"14, 4309 E Belleview St, Phoenix, AZ 85008",(602) 954-8182,bgcmp.org
Cancer Support Community Arizona - Formerly Known As The Wellness Community Arizona,Wellness,"360 E Palm Ln, Phoenix, AZ 85004",(602) 712-1006,cscaz.org
Chicaons Por la Causa,Latino,"1112 E Buckeye Rd, Phoenix, AZ 85034",(602) 257-0700,cplc.org
Cystic Fibrosis Foundation - Arizona Chapter - Phoenix Office,Health,"5055 E Washington St # 130, Phoenix, AZ 85034",(602) 224-0068,cff.org
Daring Adventures,Disability,"1229 E Washington St, Phoenix, AZ 85034",(602) 290-0214,daring-adventures.org
Dress for Success,Women,"1024 E Buckeye Rd Suite 165, Phoenix, AZ 85034",(602) 489-7397,phoenix.dressforsuccess.org
EVOlution Foundation,Children and Women,"2534 N 28th Pl, Phoenix, AZ 85008",(480) 686-7844,evofoundation.org
Food for the Hungry,Charity,"1224 E Washington St, Phoenix, AZ 85034",(480) 998-3100,fh.org
Foundation for Exceptional Kids,Education,"1848 N 52nd St, Phoenix, AZ 85008",(480) 245-7456,forexceptionalkids.org
Fresh Start Women's Foundation,Women,"1130 E McDowell Rd, Phoenix, AZ 85006",(602) 252-8494,freshstartwomen.org
Fusion Architecture,Community,"Phoenix, AZ 85082",(623) 907-8828,fusionarchitecture.org
Greater Phoenix Leadership,Business,"400 E Van Buren St #555, Phoenix, AZ 85004",(602) 252-5667,https://www.gplinc.org/
Guru Nanak Dwara,Religious,"2302 N 9th St, Phoenix, AZ 85006",(602) 810-0745,gurunanakdwara.com
Hands On Greater Phoenix,Community,"333 N 44th St, Phoenix, AZ 85008",(602) 973-2212,handsonphoenix.org
Hogar Hispano Inc,Economy,"5009 E Washington St #210, Phoenix, AZ 85034",(844) 884-7444,hogarhispanoinc.org
Hope Women's Center,Women,"1640 E McDowell Rd, Phoenix, AZ 85006",(602) 715-0999,hopewomenscenter.org
Hope's Crossing,Women,"830 N 1st Ave, Phoenix, AZ 85003",(602) 795-8098,hopescrossing.org
Joni & Friends,Disability,"5025 E Washington St # 106, Phoenix, AZ 85034",(602) 275-2568,joniandfriends.org
Keep Phoenix Beautiful,Community,"200 W Washington St # 16, Phoenix, AZ 85003",(602) 262-4820,keepphxbeautiful.org
Lifewell Behavioral Wellness,Healthcare,"4451 E Oak St, Phoenix, AZ 85008",(602) 957-2220,lifewell.us
Lodestar Day Resource Center,Homeless,"1125 W Jackson St, Phoenix, AZ 85007",(602) 393-9930,lodestardrc.org
Lost Our Homes,Pet,"2323 Hardy Dr, Tempe, AZ 85282",602) 445-7387,lostourhome.org
Mountain Park Health Center Corporate,Health,"2702 N 3rd St #4020, Phoenix, AZ 85004",(602) 323-3496,mountainparkhealth.org
